identifiant,password,nomDeNaissance,prenom,secondPrenom,titre,Gender,email,telephone,birthdate,AAAA,MM,JJ,departementDeNaissance,codeCommune,regionDeNaissance,codePaysDeNaissance,adresseFormatee,siren,siret,serviceAffectation,populationAppartenance,position,job,createdAt,updatedAt
247095301100810,123,SCHULTZ,WYNNE,TAYO,MME,female,wynne@finances.gouv.fr,0123456789,1931-01-21,1931,01,21,84,13201,93,99100,26 rue Desaix 75015 Paris,120001011,12345678910112,Secretariat General du Gouvernement,Agent,,RIME,2018-07-05T00:00:00.000Z,2018-07-05T00:00:00.000Z
samir.affani@open-groupe.com,123,AFFANI,Samir,,MR,male,samir.affani@open-groupe.com,0123456789,1931-01-21,1931,01,21,84,13201,93,99100,26 rue Desaix 75015 Paris,487979460,48797946055555,OPEN GROUP,OPEN GROUP,,RIME,2018-07-05T00:00:00.000Z,2018-07-05T00:00:00.000Z
thibaut.chieux@open-groupe.com,123,CHIEUX,Thibaut,,MR,male,thibaut.chieux@open-groupe.com,0123456789,1931-01-21,1931,01,21,84,13201,93,99100,26 rue Desaix 75015 Paris,487979460,48797946055555,OPEN GROUP,OPEN GROUP,,RIME,2018-07-05T00:00:00.000Z,2018-07-05T00:00:00.000Z
guillaume.roussel@open-groupe.com,123,ROUSSEL,Guillaume,,MR,male,guillaume.roussel@open-groupe.com,0123456789,1931-01-21,1931,01,21,84,13201,93,99100,26 rue Desaix 75015 Paris,48797946055555,487979460,OPEN GROUP,OPEN GROUP,,RIME,2018-07-05T00:00:00.000Z,2018-07-05T00:00:00.000Z
racha.dernaika@open-groupe.com,123,DERNAIKA,Racha,,MR,male,racha.dernaika@open-groupe.com,0123456789,1931-01-21,1931,01,21,84,13201,93,99100,26 rue Desaix 75015 Paris,487979460,48797946055555,OPEN GROUP,OPEN GROUP,,RIME,2018-07-05T00:00:00.000Z,2018-07-05T00:00:00.000Z
gharry-adc,123,HARRY,Guillaume,,,,guillaume.harry@modernisation.gouv.fr,,,,,,,,,,,120001011,12345678910112,DINSIC,Agent,,RIME,2018-07-05T00:00:00.000Z,2018-07-05T00:00:00.000Z
anne-laure,123,Pilloy,anneLaure,TAYO,MME,female,Anne-Laure@finances.gouv.fr,0123456789,1931-01-21,1931,01,21,84,13201,93,99100,26 rue Desaix 75015 Paris,120001011,12345678910112,Secretariat General du Gouvernement,Agent,,RIME,2018-07-05T00:00:00.000Z,2018-07-05T00:00:00.000Z
cdore-adc,cdore,Dore,Claude,,,,claude.dore@finances.gouv.fr,,,,,,,,,,,110020013,11002001300097,SG,Agent,,RIME,2019-02-25T00:00:00.000Z,2019-02-25T00:00:00.000Z
bsiskind-adc,bsiskind,Bruno,SISKIND,,,,Bruno.SISKIND@finances.gouv.fr,,,,,,,,,,,110020013,11002001300097,SG,Agent,,RIME,2019-02-25T00:00:00.000Z,2019-02-25T00:00:00.000Z
nmouleyre-adc,nmouleyre,Nadine,MOULEYRE,,,,Nadine.MOULEYRE@finances.gouv.fr,,,,,,,,,,,110020013,11002001300097,SG,Agent,,RIME,2019-02-25T00:00:00.000Z,2019-02-25T00:00:00.000Z
